Week Number,Week Ended,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,3-Jan-20,48,8,4,4,6,11,17,32,54,69,115,239,361,486,696,1164,1535,2049,2457,2898
2,10-Jan-20,50,9,8,9,16,23,37,46,68,85,191,279,426,604,857,1341,1724,2290,2697,3297
3,17-Jan-20,69,7,5,4,10,25,37,47,77,118,189,306,461,562,803,1210,1612,2103,2421,2924
4,24-Jan-20,53,9,4,8,15,30,36,38,79,116,160,280,381,535,791,1167,1474,1863,2188,2626
5,31-Jan-20,50,6,5,4,23,23,28,58,76,100,163,278,382,525,732,1196,1445,1811,2124,2583
6,7-Feb-20,30,8,4,4,10,34,23,38,71,95,157,289,371,512,689,1120,1358,1698,2040,2433
7,14-Feb-20,43,6,2,4,16,26,27,40,85,92,165,288,345,490,641,1113,1305,1704,2039,2517
8,21-Feb-20,51,5,6,7,20,18,29,60,77,117,182,232,346,511,695,1048,1338,1696,1927,2475
9,28-Feb-20,49,7,6,7,24,25,28,50,85,103,155,261,347,494,682,1111,1255,1713,2015,2398
10,6-Mar-20,56,11,2,7,21,23,39,53,72,104,155,258,358,481,679,1090,1325,1798,1969,2391
11,13-Mar-20,53,13,3,6,18,39,29,55,80,90,179,260,401,500,685,1068,1366,1738,1951,2483
12,20-Mar-20,44,2,6,4,15,22,31,41,66,100,160,245,390,469,686,1094,1373,1694,1902,2302
13,27-Mar-20,49,8,1,4,12,17,33,55,71,95,163,235,381,522,699,1106,1397,1850,2016,2428
14,3-Apr-20,51,8,5,8,9,20,32,54,67,106,220,376,531,733,1044,1690,2179,2826,3015,3413
15,10-Apr-20,38,6,4,4,8,16,41,45,108,114,249,412,598,852,1149,1797,2418,3195,3564,3898
16,17-Apr-20,51,6,5,4,20,17,40,52,92,132,242,428,679,945,1272,2108,2817,3840,4444,5157
17,24-Apr-20,54,6,3,3,11,25,34,66,98,170,279,438,639,927,1248,1990,2741,3772,4349,5144
18,1-May-20,48,8,0,3,14,18,40,59,98,116,235,387,550,725,1023,1578,2155,2987,3514,4395
19,8-May-20,28,6,4,10,9,18,25,33,59,89,165,267,407,531,763,1172,1528,2099,2441,3003
20,15-May-20,56,10,5,4,13,19,33,40,78,104,195,303,477,668,854,1334,1746,2421,2805,3408
21,22-May-20,51,4,5,7,13,18,34,50,77,147,175,292,427,587,735,1148,1492,1963,2283,2780